
1,New York Times,New York Times Company,"2,237,601"
2,Long Island Newsday,Patrick Dolan and Charles Dolan,"512,118"
3,Los Angeles Times,"tronc, Inc.","507,395"
4,New York Post,News Corp.,"424,721"
5,Dallas Morning News,A. H. Belo Corp.,"410,587"
6,Chicago Tribune,"tronc, Inc.","384,962"
7,Washington Post,"Nash Holdings, LLC","356,768"
8,Daily News (New York),Mortimer Zuckerman,"299,538"
9,Amnewyork,Patrick Dolan and Charles Dolan,"291,991"
10,Star Tribune (Minneapolis),Glen Taylor,"285,129"
11,Houston Chronicle,Hearst Corp.,"276,445"
12,Austin American,Cox Enterprises,"246,963"
13,Tampa Bay Times,Poynter Institute,"245,042"
14,Honolulu Star-Advertiser,Black Press Group Ltd.,"243,376"
15,"The Record (Woodland Park, NJ)",Gannett Co.,"242,567"
16,Boston Globe,John W. Henry,"232,546"
17,Las Vegas Review-Journal,News + Media Capital Group LLC (Sheldon Adelson),"232,372"
18,Philadelphia Inquirer,Interstate General Media,"227,245"
19,Fort Worth Star-Telegram,McClatchy Co.,"215,476"
20,The Denver Post / The Sunday Denver Post,Daily First Media,"196,286"
21,Arizona Republic,Gannett Co.,"188,467"
22,Metro New York,Seabay Media Holdings LLC,"180,866"
23,El Vocero De Puerto Rico,Publi-Inversiones,"179,761"
24,The Star-Ledger (Newark),"Advance Publications, Inc.","170,077"
25,San Francisco Chronicle,Hearst Corp.,"167,602"
26,Columbus Dispatch,New Media Investment Group,"164,995"
27,Tribune Review (Pittsburgh),Trib Total Media,"161,665"
28,The Palm Beach Post,Cox Enterprises,"160,299"
29,San Antonio Express-News,Hearst Corp.,"158,986"
30,Milwaukee Journal Sentinel,Gannett Co.,"154,763"
31,El Nuevo Dia,GFR Media,"153,957"
32,The Salt Lake Tribune / Deseret News,Huntsman Family Investments / Deseret Management Corporation,"152,210"
33,Express (Washington DC),"Nash Holdings, LLC","148,928"
34,Kansas City Star,McClatchy Co.,"146,730"
35,Chicago Sun-Times,"Wrapports, LLC","146,539"
36,The Virginian-Pilot,Landmark Media Enterprises,"143,682"
37,Pittsburgh Post-Gazette,Block Communications,"140,987"
